	Category	Topic	Subtopic 	nil	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15				
231	Retina	General	Electroretinogram (ERG): DDx	nil	nil	# DDx of negative ERG?	"- Congential stationary night blindness (CSNB)
- CRV(A)O
- X-linked retinoschisis
- Myotonic dystrophy
- Duchene muscular dystrophy
- Drugs (quinine)
Cook County X MD"	# Non-pathologic DDx of decreased ERG?	"‘- High myopia (farther from electrodes)
- Large vitreous hemorrhage (VH)
- Not AMD (full-field ERG normal)"																														
193	Retina	Macular Diseases	Age-Related Macular Degeneration (AMD)	"193_DryAMD_1.png, 193_DryAMD_2.jpg, 193_DryAMD_3.jpg, 193_DryAMD_5.jpg"	nil	# What are risk factors associated with Dry AMD?	"- Age, smoking, positive family history, female, light iris, hyperopia, HTN, hypercholesterolemia"	# What does hard drusen formation indicate?	- Nodular thickening of the basement membrane (BM) of RPE	# What does soft drusen formation indicate?	- Focal PED (separation from Bruch’s membrane)	"# On electron microscopy characterization, where is the distribution of basal laminar deposits (BLamD)? "	- Between plasma and BM of RPE	"# On electron microscopy characterization, where is the distribution of basal linear deposits (BLinD)?"	- External to BM of RPE	"# What are the sizes of small, intermediate, and large drusen?"	"- Small <64um
- Intermediate 64-124um
- Large >124um"	# What is the characteristic appearance of geographic atrophy (GA) on autofluorescence (AF)?	- Decreased AF with ring of increased AF predict areas of GA expansion	# Ddx of GA?	"- Mitochondrial myopathies, central areolar choroidal dystrophy"	# Features of Cuticular (Basal Laminar) Drusen:	"- Type of early hard drusen (age 30-40s) 
- Many small, uniform, demarcated drusen, better seen on FA with “stars-in-the-sky” appearance
- May develop large vitelliform detachment"	# Features of Reticular Pseudodrusen:	"- Interlacing network of 125-250um drusen
- First appear in superotemporal macula
- Better seen on red-free, NOT on FA/ICG
- “Sawtooth” subretinal deposits on OCT"														
194	Retina	Macular Diseases	Dry AMD Treatment	194_Table.png	nil	# What are the treatments for Dry AMD?	"- AREDS
- AREDS2
- Immunomodulation: Copaxone (subQ NSAID)
- Neuroprotection: Brimonidine (inc BDNF, dec glial activation); CNTF (e.g. secreting liposomes)"	# What are the components of AREDS?  	"- Vitamins C & E, beta carotene, copper, zinc"	# What were the results of AREDS?	"- 25% reduction in progression to advanced AMD
- 19% reduction in VA loss over 5 yrs"	# What are the AREDS criteria?	"- Bilateral intermediate (many intermediate or 1 large)
- Unilateral advanced AMD (wet AMD or GA)"	# What component in AREDS should be avoided in smokers?	- Beta carotene	# What are the components of AREDS2?	"- Antioxidants without beta carotene, omega-3 fatty acid, xanthophylls (zeaxanthine, lutein)"	"# According to the Framingham Eye Study, what is the risk of AMD in people between 65 and 75?"	‘- 6% in age >65	"# According to the Framingham Eye Study, what is the risk of AMD in people older than 75?"	‘- 20% in age>75																		
196	Retina	Macular Diseases	Wet AMD Treatments	nil	nil	# What were the conclusions from the Macular Photocoagulation Study (MPS) on laser treatment?	"- Extrafoveal & Juxtafoveal: Laser all (AMD, POHS, idiopathic)
- Subfoveal: (only AMD studied)
## <2DD, laser
## 2-3.5DD, treat if <20/200
## >3.5DD, don’t laser
- Laser only classic, not occult
- Argon = krypton (no difference)"	# What is the setting (mW/cm2) for regular fluence Photodynamic Therapy (PDT)?	- 600mW/cm2	# What is the setting (mW/cm2) for reduced fluence Photodynamic Therapy (PDT)?	- Reduced: 300mW/cm2	# What was the conclusion from Treatment of AMD with PDT (TAP) studies?	- PDT > control in classic CNV	# What was the conclusion from Verteporfin in PDT (VIP) studies?	"- PDT > control in occult CNV (w/o classic)
- Small area (<4DA) and low vision (<20/30)
- PDT studies also evaluated myopia"																								
196	Retina	Macular Diseases	Anti-VEGF - Pegaptanib (Macugen)	nil	nil	# Definition of Pegaptanib?	- Pegylated anti-VEGF RNA aptamer	# What does Pegaptanib bind?	- Binds VEGF 165	# Dose?	- 0.3mg																												
196	Retina	Macular Diseases	Anti-VEGF - Ranibizumab (Lucentis)	nil	nil	# Definition of Ranibizumab?	- 48kD Fab of Mab (<50kD to cross retina)	# What does Ranibizumab target?	- Targets VEGF-A	# Dose?	"- 0.3mg (DME), 0.5mg (AMD), 2mg"																												
196	Retina	Macular Diseases	Anti-VEGF - Bevacizumab (Avastin)	nil	nil	# Definition of Bevacizumab?	- Full-length Mab and Fc	# What does Bevacizumab target?	- Targets VEGF-A	# Dose?	"- 1.25mg, 2.5mg"																												
196	Retina	Macular Diseases	Anti-VEGF - Aflibercept (Eylea)	nil	nil	# Definition of Aflibercept?	- Ligand-binding domain of VEGFR 1/2 and IgG Fc	# What does Aflibercept bind?	- Binds VEGF-A and placental-like GF	# Dose?	"- 2mg, 4mg"																												
195	Retina	Macular Diseases	Choroidal Neovascularization (CNV)	"195_CNV_1.jpg, 195_CNV_3.jpg, 195_CNV_4.jpg"	nil	# CNV is classified into three types. How is Type 1 CNV defined?	- Type 1: Under RPE	# How is Type 2 CNV defined?	- Type 2: Between RPE and photoreceptors	# How is Type 3 CNV defined?	‘- Type 3: Extends into the retina (Retinal Angiomatous Proliferations or RAP)	# There are two major patterns of CNV. What does Classic CNV look like?	‘- Early hyper and late leakage	# What does Occult CNV look like?	"‘- Stippled/granular early hyper and late stain
- 2 types: fibrovascular PED vs. late leakage of undetermined source"	# What are the different types of CNV?	"‘- Predominantly Classic (>49% classic)
- Minimally Classic (<49% classic)
- Occult w/o Classic (no classic)"																						
195	Retina	Macular Diseases	Retinal Angiomatous Proliferation (RAP)	195_CNV_2.jpg	nil	# What is the Yannuzzi Classification for RAP?	"- Stage 1
## Intraretinal NV / leakage
- Stage 2
## Subretinal NV + serous PED
- Stage 3
## Choroidal NV + fibrovascular PED
## FA: retinochoroidal anastamoses"																																
198	Retina	Macular Diseases	Myopic Degeneration	"198_CNV_MyopicDegeneration_1.jpg, 198_CNV_MyopicDegeneration_2.png"	nil	# What is the diopter cutoff for high myopia?	"- > -6.00D, > 26.5mm"	# What is the diopter cutoff for pathologic myopia?	"- > -8.00, > 32.5mm"	# Findings? (4)	"1. Lacquer cracks
## Can cause round, deep SRH that clears spontaneously (not CNV)
2. Forster-Fuchs spots
## Dark spots from subretinal or intraretinal RPE hyperplasia
3. Posterior staphyloma
4. Cobblestone, lattice, cystoid degeneration"	# What is the treatment for subfoveal CNV caused by myopic degeneration?	"‘- PDT (VIP), anti-VEGF"	# What is the treatment for extra/juxtafoveal CNV caused by myopic degeneration?	"- Anti-VEGF, no data for laser"																								
199	Retina	Macular Diseases	Presumed Ocular Histoplasmosis Syndrome	199_CNV_POHS.png	nil	# Findings? (4)	"1. Punched-out “histo spots”
2. Peripapillary atrophy
3. CNV (peripapillary)
4. No vitritis"	# Where is Presumed Ocular Histoplasmosis Syndrome (POHS) geographically prevalent?	- Ohio-Mississippi River Valley	# What are treatment options for subfoveal CNV caused by POHS?	"- PDT, steroids, anti-VEGF"	# What are treatment options for extra/juxtafoveal CNV caused by POHS?	"‘- Laser (MPS), anti-VEGF"	# What is the prognosis of POHS?	- 44% severe VA loss (>6 lines) in 5 yrs																								
200	Retina	Macular Diseases	Angioid Streaks	"200_CNV_AngioidStreaks_1.jpg, 200_CNV_AngioidStreaks_2.jpg"	nil	# Features of Angioid Streaks:	"- Breaks in Bruchs membrane
- Minor trauma may cause bleeding"	# Conditions associated with Angioid Streaks? (PEPSI)	"‘- Pseudoxanthoma elasticum (PXE)
## Peau d’orange fundus
## Depigmented subretinal “crystalline spots” or “comet tail”
## Peripheral atrophic spots
## Optic nerve drusen
## Plucked chicken skin
## GI hemorrhages (life threatening)
- Ehlers-Danlos syndrome
## Hyperextensible joints, scoliosis
## Blue sclera, brittle cornea
- Paget’s disease
## Long bone fractures
- Sickle cell disease
- Idiopathic (50%)"	# What is the treatment for CNV caused by Angioid Streaks?	- Anti-VEGF; laser (extrapolated from MPS)																												
226	Retina	Macular Diseases	Macular Telangiectasia	"226_IJFT_1.jpg, 226_IJFT_2.jpg"	Group 2A Juxtafoveal Telangiectasia*Group 2A Juxtafoveal Telangiectasia	# Features:	‘- Capillary anomalies usually temporal to fovea	# What eye diseases are patients with Parafoveal (Juxtafoveal) Telengiectasia at risk for?	‘- CME and choroidal NV	"# What are the 3 groups? (Gass-Blodi classification) 
1) Aneurysmal (1A: >2 clock hrs; 1B: <2 clock hrs)"	"‘- Congenital or acquired, males
- Unilateral, visible telangiectasias, CME, exudates
- Variant of Coats disease w/ circinate exudates"	2) Perifoveal (2A: adult; 2B: juvenile familial)	"‘- Acquired, male = female
- Bilateral, occult telangiectasias; min exudates; superficial crystalline deposits; foveolar atrophy 
- Abnormal glucose tolerance test
- Group 2A staging?
## Stage 1: diffuse hyperfluorescence in late FA
## Stage 2: reduced parafoveal retinal transparency
## Stage 3: dilated right-angle venules
## Stage 4: intraretinal pigment plaques/clumps
## Stage 5: vascular membranes "	3) Occlusive (3A: no CNS; 3B: +CNS vasculopathy)	"‘- Bilateral, visible telangiectasias; min exudates; capillary occlusion; optic disc pallor; more VA loss"	# Treatment?	"‘- Group 1 only with laser
- Group 2, 3 with PDT or anti-VEGF (laser may worsen fibrosis)"																						
242	Retina	Macular Diseases	Macular Dystrophy: Stargardt Disease	"242_StargardtDisease_1.jpg, 242_StargardtDisease_2.png, 242_StargardtDisease_3.png"	nil	# Inheritance pattern?	"‘- Autosomal recessive (ABCA4)
- Usually <50 yrs old
- Most common inherited macular dystrophy"	# Fundus appearance?	"- Bull’s eye maculopathy
- Beaten-bronze macula
- Pisciform flecks in periphery (fundus flavimaculatus)"	# FA appearance?	"‘- Dark choroid + starry sky in >80% 
- Due to increased lipofuscin
- Can occur w/ argyrosis (silver, often from tanning agents)"	# ERG appearance?	"‘- Full-field ERG normal early, then worsens like rod-cone dystrophies"																										
243	Retina	Macular Diseases	Best Disease	"243_RPEdystrophies_BestDisease_1.jpg, 243_RPEdystrophies_BestDisease_2.jpg, 243_RPEdystrophies_BestDisease_4.jpg"	nil	# What is the inheritance pattern of Best Disease? Which chromosome is affected?	- Autosomal dominant; Chr 11	# Which gene and protein product are mutated?	"- VMD2 gene
- Bestrophin plasma membrane protein (Cl- channel)"	# What are the 6 stages of Best Disease?	"‘- Stage 1: Pre-vitelliform (normal fundus)
- Stage 2: Vitelliform (usu. age 4-10)
- Stage 3: Pseudohypopyon
- Stage 4: Vitelleruptive (“scrambled-egg”)
- Stage 5: Atrophic
- Stage 6: CNV"	# What is the characteristic appearance of Best Disease on ERG/EOG?	"‘- Arden ratio <1.2 (normal >1.5)
- ERG, VF, dark adaptation normal"	# What is the characteristic appearance of Best Disease on FA?	"‘- Blocked early, stains late"	# What is the characteristic appearance of Best Disease on AF?	- Increased in yellow subretinal deposit	# Complications?	"- CNV (20%), serous PED"	# Prognosis?	"- Good, unless CNV"																		
243	Retina	Macular Diseases	Adult-onset Vitelliform Macular Dystrophy	"243_RPEdystrophies_AdultOnsentVitelliformMacularDystrophy_1.png, 243_RPEdystrophies_AdultOnsentVitelliformMacularDystrophy_2.jpg, 243_RPEdystrophies_AdultOnsentVitelliformMacularDystrophy_3.jpg"	nil	# What is the inheritance pattern of Adult-onset Vitelliform Macular Dystrophy?	‘- Autosomal dominant	# Which gene is mutated?	- RDS/peripherin gene (PRPH2)	# Clinical findings?	"‘- Onset at age 20-40s
- Similar to Best, but usually asymmetric
- Central dark spot"	# Prognosis?	"- Good, unless CNV"																										
244	Retina	Macular Diseases	Pattern Dystrophy	"244_RPEdystrophies_PatternDystrophy_1.jpg, 244_RPEdystrophies_PatternDystrophy_2.jpg, 244_RPEdystrophies_PatternDystrophy_3.jpg, 244_RPEdystrophies_PatternDystrophy_4.jpg, 244_RPEdystrophies_PatternDystrophy_5.jpg, 244_RPEdystrophies_PatternDystrophy_6.jpg"	nil	# What is the inheritance pattern of Pattern Dystrophies?	- Autosomal dominant (usually)	# Which gene is mutated?	- RDS/peripherin gene (PRPH2)	# Clinical findings?	"‘- Usually mild VA change or metamorphopsia
- Onset usually at age 20-40s
- ERG normal; EOG mildly-reduced "	# What are the 4 types of Pattern Dystrophies?	"- Adult-onset vitelliform dystrophy
## Yellow subfoveal lesions (~1/3DD w/ pigment)
- Butterfly Dystrophy
## Gray-yellow butterfly lesion
- Reticular Dystrophy (Sjogren’s)
## Fishnet configuration (hypofluorescent on FA)
- Fundus Pulverulentus 
## coarse RPE mottling"	# CNV rare																									
245	Retina	Macular Diseases	North Carolina Macular Dystrophy	nil	nil	# What is the inheritance pattern of North Carolina Macular Dystrophy?	- Autosomal dominant	# Which gene is mutated?	- MCDR1 on Chr 6q14	# Clinical findings?	"- Non-progressive
- Staphylomatous w/ big macular scar 
- Surprisingly good vision"																												
245	Retina	Macular Diseases	Sorsby Dystrophy	nil	nil	# What is the inheritance pattern of Sorsby Dystrophy?	‘- Autosomal dominant	# Which gene is mutated?	- TIMP3 on Chr 22q	# What is the pathophysiology?	- Accumulation of lipids between RPE and Bruch’s membrane	# Clinical findings?	"‘- Decreased VA/color in age 40-50s
- Subfoveal CNV OU common
- “Pseudo-inflammatory” appearance
- Spreads from center to periphery"	# What is the characteristic appearance on ERG/EOG?	‘- ERG/EOG abnormal late	# Prognosis?	‘- Poor																						
246	Retina	Macular Diseases	Familial Dominant Drusen	246_RPEchoroidalDystrophies_MalattiaLeventinese.jpg	nil	# What is the inheritance pattern of Familial Dominant Drusen?	- Autosomal dominant	# Which genes are mutated?	"‘- EFEMP1, CFH"	# What are alternative names for Familial Dominant Drusen?	- Doyne honeycomb dystrophy or Malattia Leventinese	# Familial dominant drusen shares similar characteristics to which other types of drusen?	- Has elements of BOTH cuticular (basal laminar) drusen and reticular pseudodrusen	# Clinical findings?	"- Good vision; normal ERG/EOG
- Onset at age 20s"	# A patient with Familial Dominent Drusen will be more at risk for what eye disease?	- AMD																						
246	Retina	Macular Diseases	Central Areolar Choroidal Dystrophy	246_RPEchoroidalDystrophies_CentralAreolarChoroidalDystrophy.jpg	nil	# What is the inheritance pattern of Central Areolar Choroidal Dystrophy?	- Autosomal dominant	# Which gene is mutated?	‘- RDS/peripherin on Chr 6	# Clinical findings?	"‘- Onset at age 30-40s
- Gradual VA loss + expansion of atrophy
- Similar to GA, but in a young person
- FA (early and late window defects)
- ERG/EOG normal"	# What type drusen is Central Areolar Choroidal Dystrophy commonly associated with?	- Dominant drusen																										
205	Retina	Macular Diseases	Solar Maculopathy	205_Maculopathies_SolarRetinopathy.jpg	nil	# What is Solar Maculopathy?	‘- Small yellow foveolar spot that evolves to a small macular hole	# What is the characteristic appearance of Solar Maculopathy on OCT?	- Loss of IS/OS band and small discrete defect	# What is the cause of Solar Maculopathy?	"- Caused by sun-gazing or arc welding, usually occurring approximately 2 weeks  after exposure"	# What 2 drugs cause an increased risk for Solar Maculopathy?	- Psoralen or tetracycline	# Additional Information:	- VA usually returns to normal																								
205	Retina	Macular Diseases	Unilateral Acute Idiopathic Maculopathy	205_Maculopathies_UAIM.png	nil	# What is the common presentation of Unilateral Acute Idiopathic Maculopathy (UAIM) in a patient?	‘- Acute vision loss usually in young adult	# Clinical findings of UAIM?	- Grayish RPE thickening +/- serous RD +/- vitritis	# What is the characteristic appearance of UAIM on FA?	- Early hyper/hypofluorescence and late pooling	# What is the characteristic appearance of UAIM on OCT?	- Outer retinal defects	# Treatment for UAIM?	"- None; Spontaneously improve in weeks, OCT resolves"																								
205	Retina	Macular Diseases	Acute Macular Neuroretinopathy	205_Maculopathies_AMN.png	nil	# Clinical findings for Acute Macular Neuroretinopathy (AMN)?	"‘- Subacute vision loss and paracentral scotomas
- Usually unilateral
- Permanent or transient
- Dark triangular macula patches at outer retina"	# What is the characteristic appearance of AMN on OCT?	- IS/OS defects	# How is AMN diagnosed?	- Multifocal ERG																												
264	Retina	Macular Diseases	Torpedo Maculopathy	264_OtherPigmentedLesions_TorpedoMaculopathy.png	nil	# What is Torpedo Maculopathy?	"‘- Temporal RPE defect pointing toward fovea
- Similar to CHRPE"	# What is the cause of Torpedo Maculopathy?	- Congenital defect in RPE	# What is the characteristic appearance of Torpedo Maculopathy on OCT?	‘- Retinal thinning and increased RPE hyperreflectivity																												
192	Retina	Choroidal Diseases	Central Serous Chorioretinopathy (CSCR)	"192_CSCR_3.png, 192_CSCR_7.jpg, 192_CSCR_9.jpg"	CSCR(Late phase)*AV* 	# Features of CSCR:	"- Idiopathic serous RD with multifocal PEDs, RPE changes and mottled atrophy
- Usually in young males"	# Risk factors?	"- Steroids, stress, type A personality"	# FA appearance?	"‘- Expansile dot (common), smokestack"	# OCT appearance?	- Thickened choroid (increased hydrostatic pressure in choroid)	# Treatment?	"- Observation (self-limited 3-4mo)
- Treat if >3-4mo, recurrent, permanent changes
- Laser speeds recovery, not VA outcome
- PDT (half-fluence), rifampin, spironolactone"	# Ddx of serous RD?	"- CNV (+leakage)
- PCV (saccular outpouchings)
- ON pit (no leakage)
- VKH/SO 
- Posterior scleritis
- Lymphoma
- Pre-eclampsia/Severe HTN 
- Choroidal tumor
- Toxoplasmosis/Syphilis"																						
201	Retina	Choroidal Diseases	Polypoidal Choroidal Vasculopathy (PCV)	"201_PCV_IPCV_1.jpg, 201_PCV_IPCV_2.jpg,201_Table.png"	nil	# Features of PCV:	"- Multifocal, recurrent serous PEDs
- Saccular choroidal outpouchings"	# More common in which demographics?	"‘- African-Caribbeans and Asians (M>F, mostly unilateral)
-  Caucasians and Blacks (F>M, mostly bilateral, peripapillary)"	# FA appearance?	"‘- Early hyperfluorescent polyps and hypofluorescent halos
- Polyps better seen on ICG"	# Treatment?	"‘- Anti-VEGF, PDT, or combined
- Only disease in SUMMIT trial to have improved response to combined anti-VEGF + PDT"																										
261	Retina	Choroidal Diseases	Uveal Effusion Syndrome	"258_SerousRD_1.jpg,258_SerousRD_2.jpg"	nil	# Causes?	"‘- Idiopathic 
- Scleritis 
- Nanophthalmos"	# Associated with which eye conditions?	"‘- Hyperopia, glaucoma"	# FA appearance?	"‘- Leopard spots
- Usually no leakage"																												
261	Retina	Choroidal Diseases	BDUMP	261_ChoroidalDisease_BDUMP.png	nil	# Features of Bilateral Diffuse Uveal Melanocytic Proliferation (BDUMP):	"‘- Paraneoplastic diffuse thickening of choroid with discoloration
- Look like large nevi"	# Cancer association?	"‘- Ovarian, uterine, and lung carcinoma"	# FA appearance?	‘- Leopard spots	# Treatment?	‘- Intravitreal rituxamab																										
206	Retina	Vascular Diseases	Hypertensive Retinopathy/Macroaneurysms	"206_Hypertension_HypertensiveRetinopathy.jpg, 206_Hypertension_Macroaneurysm_1.png, 206_Hypertension_Macroaneurysm_2.png"	nil	# What is the Scheie classification for Hypertensive Retinopathy? (Grades 0 - 4)	"‘- Grade 0: no change
- Grade 1: trace arterial narrowing
- Grade 2: frank arterial narrowing + focal irregularities
- Grade 3: grade 2 + retinal hemorrhages/exudates
- Grade 4: grade 3 + disc swelling"	# Causes what vascular eye conditions? 	"- BRAO, BRVO, CRVO"	# Treatment?	"‘- Laser if macula involved
"	"MACROANEURYSMS

# Caused by which vascular eye conditions?"	"‘- 2/3 from HTN Retinopathy
- CRVO"	# Treatment?	‘- Laser																								
206	Retina	Vascular Diseases	Hypertensive Choroidopathy	206_Hypertension_HypertensiveChoroidopathy.png	nil	# What disease processes usually occur with acute HTN?	"‘- Preeclampsia or eclampsia
- Renal disease
- Pheochromocytoma
- Malignant HTN"	# Clinical findings?	"‘- Elschnig spots
- Siegrist streaks
- Serous RD"	# FA appearance?	"‘- Early focal choroidal hypoperfusion
- Late subretinal leakage"	# Ddx of Hypertensive Choroidopathy?	"‘- Vaso-occlusive dx (TTP, ITP, DIC) 
- Inflammatory dx (GCA, Wegener’s)"																										
207	Retina	Vascular Diseases	Diabetic Retinopathy (DR)	"207_DiabeticRetinopathy_CSME.jpg, 207_DiabeticRetinopathy_NPDR.jpg, 207_DiabeticRetinopathy_PDR_1.png, 207_DiabeticRetinopathy_PDR_2.png"	CSME*NPDR*PDR*PDR	# What are the stages of Nonproliferative Diabetic Retinopathy (NPDR)? (4)	"‘- Mild
- Moderate
- Severe
- Very Severe"	# How is severe NPDR diagnosed?	"‘- Based on the 4:2:1 rule. A diagnosis is made if the patient has any one of the following:
## 4 quads: intraretinal hemorrhage (IRH) and microaneurysms
## 2 quads: venous beading
## 1 quad: intraretinal microvascular abnormalities (IRMA)
- 15% chance of progression to high-risk PDR within 1 year
- Cotton wool spots (CWS) are NOT predictive"	# How is very severe NPDR diagnosed?	"‘- Patient has any two of the 4:2:1 rule
- 45% chance of progression to high-risk PDR within 1 year"	# What are the features of Clinically Significant Macular Edema (CSME)?	"- Any edema within 500_m of fovea
- Hard exudates within 500_m of fovea and adjacent edema
- Edema >1 disc area in size within 1 disc diameter of fovea"	# What are the stages of Proliferative Diabetic Retinopathy (PDR)? (2)	"‘- Early
- High risk"	# How is high risk PDR diagnosed?	"‘- Any neovascularization of the optic disc (NVD) with vitreous hemorrhage (VH)
- 1/4-1/3 disc area NVD (≥standard photo 10A)
- 1/2 disc area neovascularization elsewhere (NVE) with VH"	# How is Macular Ischemia diagnosed?	"‘- FA: microaneurysms at margins of zone of capillary nonperfusion
- Foveal avascular zone (FAZ) enlargement >1000um usually associated with visual loss"																				
208	Retina	Vascular Diseases	Retinal Lasers	208_RetinalLasers_PRP.png	Panretinal (Scatter) Photocoagulation (Fresh)	# What are the specifications of Panretinal Photocoagulation (PRP)?	"‘- >1200 spots, 500um, 0.1s, 1/5 apart"	# When do you treat cataract extraction with insertion of intraocular lens (CE/IOL) with PRP?	- PRP before CE/IOL if view clear	# Side effects of PRP?	"‘- Lost of peripheral vision
- Decrease in night or color vision
- Glare, photopsias
- Worsens macular edema"	# Reason to avoid 3:00 and 9:00?	‘- Pain from long ciliary nerves	# What are the specifications for Focal/Grid Laser?	"- 50-100um, 0.1s
- Whiten microaneurysm (MA) for focal or >1 spot size for grid"	# When is Clinically Significant Macular Edema (CSME) treated with Focal/Grid Laser?	"- Treat CSME before PRP for high risk Proliferative Diabetic Retinopathy (hrPDR)
- Treat CSME before CE/IOL"	# Early Treatment Diabetic Retinopathy Study (ETDRS) findings:	"‘- Early PRP (for severe NPDR)
## Small improvement in risk of severe VA loss (<5/200) x 4 mo
## Most effective in DM2 patients
- Focal laser (for CSME)
## 50% reduction of mod VA loss in CSME over 3 yrs (15% vs 30%)
## Increased chance for visual GAIN
## Reduced retinal thickening
- ASA
## 650mg/day did not affect rate of retinopathy or vision loss"	# Diabetic Retinopathy Study (DRS) findings:	"‘- Argon/Xenon laser was used for:
## Severe NPDR OU 
## High-risk PDR in one eye
- Defined high-risk PDR
- PRP for high-risk PDR: 50% reduction in severe VA loss x 5 yrs"																		
