	Category	Topic	Subtopic 	nil	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15																
191	Retina	Anatomy/Imaging	Fluorescein Angiography (FA)	"191_Imaging_FA_1.png, 191_Imaging_FA_3.jpg, 191_Imaging_FA_4.jpg"	nil	# What are the absoption and emission wavelengths? 	"- Absorption: 465-490nm (blue)
- Emission: 520-530nm (green)"	# What percentage of fluorescein sodium is bound to plasma protein?	- 80%	# What percentage of fluorescein sodium is excreted by the kidneys?	- 90%	# What are the phases of FA? (6)	"1. Choroidal phase (10-15s)
2. Arterial phase (15-18s)
3. Early arteriovenous phase
4. Arteriovenous phase (20-25s)
5. Recirculation phase (30s +)
6. Late phase (fluorescein leaves retinal circulation by 10min)"	# What are the 5 major types of hyperfluorescence?	"1. Autofluorescence (from lipofuscin)
2. Transmission defect
3. Leaking (increasing blurred border)
4. Pooling (accumulate in anatomic space)
5. Staining (fixed margins)"	# What are the 2 major types of hypofluorescence?	"1. Blocked fluorescence
2. Filling defect"																																		
191	Retina	Anatomy/Imaging	Indocyanine Green Angiography (ICG)	191_Imaging_ICG_1.jpg	nil	# What are the absoption and emission wavelengths? 	"- Absoption: 805nm
- Emission: 835nm"	# What percentage of indocyanine green is bound to plasma protein?	"- 98% bound to albumin (stays in choroidal vessels, so better for choroidal circulation)"	# ICG should be avoided in patients with what type of allergy?	- Shellfish allergy (5% iodine in ICG)																																								
191	Retina	Anatomy/Imaging	Optical Coherence Tomography (OCT)	"191_Imaging_OCT_1.jpg, 191_Imaging_OCT_2.jpg"	nil	# What is the advantage of frequency/spectral domain over time domain?	"- Faster, better signal-to-noise ratio"																																												
230	Retina	Anatomy/Imaging	ERG Findings	230_ERG.jpg	nil	What cells are tested by:	nil	# Early receptor potential?	‘- Outer segment of photoreceptor	# A-wave?	‘- Photoreceptors	# B-wave?	‘- Bipolar/Amacrine/Muller	# C-wave?	‘- RPE 	# D-wave?	‘- Off-center bipolar cells	# Oscillatory potential?	‘- Inner retina/amacrine cells	# Pattern ERG? (N95/P50)	‘- RGC/Optic nerve function	# Electrooculography (EOG)?	‘- RPE resting potential	# DDx of negative ERG?	"- Congenital stationary night blindness (CSNB)
- CRV(A)O
- X-linked retinoschisis
- Myotonic dystrophy
- Duchene muscular dystrophy
- Drugs (quinine)
<i>""Cook County X MD""</i>"	# Non-pathologic DDx of decreased ERG?	"‘- High myopia (farther from electrodes)
- Large vitreous hemorrhage (VH)"																								
189	Retina	Anatomy/Imaging	Lasers	nil	nil	What wavelengths  do the following lasers emit at?	nil	# Excimer laser	- 193nm (UV)	# Argon retinal laser	- 532nm (green)	# Diode laser	- 810nm (IR)	# Nd:YAG laser	- 1064nm	# Femtosecond laser	- 1053nm																																		
193	Retina	Macular Diseases	Dry Age-Related Macular Degeneration (AMD)	"193_DryAMD_1.png, 193_DryAMD_2.jpg, 193_DryAMD_3.jpg, 193_DryAMD_5.jpg"	nil	# Dry AMD risk factors?	"- Age, smoking, positive family history, female, light iris, hyperopia, HTN, hypercholesterolemia"	According to the Framingham Eye Study:	nil	# Risk of AMD in people between 65 and 75?	‘- 6%	# Risk of AMD in people older than 75?	‘- 20%	# Hard drusen on histology?	- Nodular thickening of the basement membrane (BM) of RPE	# Soft drusen on histology?	- Focal PED (separation from Bruch’s membrane)	# Basal laminar deposits (BLamD) on histology? 	- Between plasma and BM of RPE	# Basal linear deposits (BLinD) on histology?	- External to BM of RPE	Sizes of drusen:	nil	# Small?	- <64um	# Intermediate?	-64-124um	# Large?	- >124um	# Appearance of geographic atrophy (GA) on autofluorescence (AF)?	- Decreased AF with ring of increased AF predict areas of GA expansion	# DDx of GA?	"- Mitochondrial myopathies, central areolar choroidal dystrophy"	# Features of Cuticular (Basal Laminar) Drusen?	"- Type of early hard drusen (age 30-40s) 
- Many small, uniform, demarcated drusen, better seen on FA with “stars-in-the-sky” appearance
- May develop large vitelliform detachment"	# Features of Reticular Pseudodrusen?	"- Interlacing network of 125-250um drusen
- First appear in superotemporal macula
- Better seen on red-free, NOT on FA/ICG
- “Sawtooth” subretinal deposits on OCT"														
194	Retina	Macular Diseases	Dry AMD Treatment	"194_Pills.jpg, 194_Table.png"	nil	# Treatments for Dry AMD?	- AREDS or AREDS2	# Components of AREDS vitamins?  	"- Vitamins C & E, beta carotene, copper, zinc"	# Components of AREDS2 vitamins?	"- Antioxidants without beta carotene, omega-3 fatty acid, xanthophylls (zeaxanthine, lutein)"	# Study results of AREDS?	"- 25% reduction in progression to advanced AMD
- 19% reduction in VA loss over 5 yrs"	# Criteria for starting AREDS vitamins?	"- Bilateral intermediate (many intermediate or 1 large)
- Unilateral advanced AMD (Wet AMD or GA)"	# Which component in AREDS vitamins should be avoided in smokers?	- Beta carotene										 																								
196	Retina	Macular Diseases	Wet AMD Treatments	nil	nil	# Macular Photocoagulation Study (MPS) results?	"- Extrafoveal & Juxtafoveal: Laser all (AMD, POHS, idiopathic)
- Subfoveal: (only AMD studied)
## <2DD, laser
## 2-3.5DD, treat if <20/200
## >3.5DD, don’t laser
- Laser only classic, not occult
- Argon = krypton (no difference)"	# Power setting (mW/cm2) for full fluence Photodynamic Therapy (PDT)?	- 600mW/cm2	# Power setting for half fluence PDT?	- 300mW/cm2	# Results from Treatment of AMD with PDT (TAP) studies?	- PDT > control in classic CNV	# Results from Verteporfin in PDT (VIP) studies?	"- PDT > control in occult CNV (no classic)
- Small area (<4DA) and low vision (<20/30)
- PDT studies also evaluated myopia"																																				
196	Retina	Macular Diseases	Anti-VEGF Treatments	nil	nil	(1) Pegaptanib (Macugen)	nil	# Structure of Pegaptanib?	- Pegylated anti-VEGF RNA aptamer	# What does Pegaptanib bind?	- Binds VEGF 165	# Dose?	- 0.3mg	(2) Ranibizumab (Lucentis)	nil	# Structure of Ranibizumab?	- 48kD Fab of Mab (<50kD to cross retina)	# What does Ranibizumab target?	- Targets VEGF-A	# Dose?	"- 0.3mg (DME), 0.5mg (AMD)"	(3) Bevacizumab (Avastin)	nil	# Structure of Bevacizumab?	- Full-length Mab and Fc	# What does Bevacizumab bind?	- All VEGF-A isoforms	# Dose?	"- 1.25mg, 2.5mg"	(4) Aflibercept (Eylea)	nil	# Structure of Aflibercept?	- Ligand-binding domain of VEGFR 1/2 and IgG Fc	# What does Aflibercept bind?	- VEGF-A and placental-like GF	# Dose?	"- 2mg, 4mg"														
195	Retina	Macular Diseases	Choroidal Neovascularization (CNV)	"195_CNV_1.jpg, 195_CNV_3.jpg, 195_CNV_4.jpg, 195_CNV_2.jpg"	nil	Classification of CNV?	nil	# Type 1?	- Under RPE	# Type 2?	- Between RPE and photoreceptors	# Type 3?	‘- Extends into the retina (Retinal Angiomatous Proliferations or RAP)	# CNV classification based on FA leakage:	nil	#Classic CNV?	‘- Early hyper and late leakage	# Occult CNV?	"‘- Stippled/granular early hyper and late stain
- 2 types: fibrovascular PED vs. late leakage of undetermined source"	(RAP) Yannuzzi classification?	nil	# Stage 1	- Intraretinal NV / leakage	# Stage 2	- Subretinal NV + serous PED	# Stage 3	"- Choroidal NV + fibrovascular PED
- FA: retinochoroidal anastamoses"																								
198	Retina	Macular Diseases	Myopic Degeneration	"198_CNV_MyopicDegeneration_1.jpg, 198_CNV_MyopicDegeneration_2.png"	nil	# Definition of high myopia?	"- > -6.00D, > 26.5mm AL"	# Diopter cutoff for pathologic myopia?	"- > -8.00, > 32.5mm"	# Fundus findings? (4)	"1. Lacquer cracks (causes SRH that clears spontaneously (not CNV))
2. Forster-Fuchs spots (dark spots from subretinal or intraretinal RPE hyperplasia)
3. Posterior staphyloma
4. Cobblestone, lattice, cystoid degeneration"	# Treatment for subfoveal CNV caused by myopic degeneration?	"‘- PDT (VIP), anti-VEGF"	# Treatment for extra/juxtafoveal CNV caused by myopic degeneration?	"- Anti-VEGF, no data for PDT"																																				
199	Retina	Macular Diseases	Presumed Ocular Histoplasmosis Syndrome	199_CNV_POHS.png	nil	# Findings? (4)	"1. Punched-out “histo spots”
2. Peripapillary atrophy
3. CNV (peripapillary)
4. No vitritis"	# Geographic prevalence?	- Ohio-Mississippi River Valley	# Treatment options for subfoveal CNV caused by POHS?	"- PDT, steroids, anti-VEGF"	# Treatment options for extra/juxtafoveal CNV caused by POHS?	"‘- Laser (MPS), anti-VEGF"	# Prognosis of POHS?	- 44% severe VA loss (>6 lines) in 5 yrs																																				
200	Retina	Macular Diseases	Angioid Streaks	"200_CNV_AngioidStreaks_1.jpg, 200_CNV_AngioidStreaks_2.jpg"	nil	# Features?	"- Breaks in Bruchs membrane
- Minor trauma may cause bleeding"	# Conditions associated with Angioid Streaks? (PEPSI)	"‘- Pseudoxanthoma elasticum (PXE)
## Peau d’orange fundus
## Depigmented subretinal “crystalline spots” or “comet tail”
## Peripheral atrophic spots
## Optic nerve drusen
## Plucked chicken skin
## GI hemorrhages
- Ehlers-Danlos syndrome
## Hyperextensible joints, scoliosis
## Blue sclera, brittle cornea
- Paget’s disease
## Long bone fractures
- Sickle cell disease
- Idiopathic (50%)"	# Treatments for CNV caused by Angioid Streaks?	- Anti-VEGF; laser (extrapolated from MPS)																																								
226	Retina	Macular Diseases	Macular Telangiectasia	"226_IJFT_1.jpg, 226_IJFT_2.jpg"	Group 2A Juxtafoveal Telangiectasia*Group 2A Juxtafoveal Telangiectasia	# Location of capillary anomalies?	‘- Temporal to fovea	# What complications are MacTel patients at risk for?	‘- CME and choroidal NV	"# What are the 3 groups? (Gass-Blodi classification) 
1) Aneurysmal (1A: >2 clock hrs; 1B: <2 clock hrs)"	"‘- Congenital or acquired, males
- Unilateral, visible telangiectasias, CME, exudates
- Variant of Coats disease w/ circinate exudates"	2) Perifoveal (2A: adult; 2B: juvenile familial)	"‘- Acquired, male = female
- Bilateral, occult telangiectasias; min exudates; superficial crystalline deposits; foveolar atrophy 
- Abnormal glucose tolerance test
- Group 2A staging?

<u>Stage 1</u>: Diffuse hyperfluorescence in late FA
<u>Stage 2</u>: Reduced parafoveal retinal transparency
<u>Stage 3</u>: Dilated right-angle venules
<u>Stage 4</u>: Intraretinal pigment plaques/clumps
<u>Stage 5</u>: Vascular membranes "	3) Occlusive (3A: no CNS; 3B: +CNS vasculopathy)	"‘- Bilateral, visible telangiectasias; minimal exudates; capillary occlusion; optic disc pallor; more VA loss"	# Treatment?	"‘- Group 1 only with laser
- Group 2, 3 with PDT or anti-VEGF (laser may worsen fibrosis)"																																		
242	Retina	Macular Diseases	Macular Dystrophy: Stargardt Disease	"242_StargardtDisease_1.jpg, 242_StargardtDisease_2.png, 242_StargardtDisease_3.png, 255_Table.png"	nil	# Inheritance pattern?	"‘- Autosomal recessive (ABCA4)
- Usually <50 yrs old
- Most common inherited macular dystrophy"	# Fundus appearance?	"- Bull’s eye maculopathy
- Beaten-bronze macula
- Pisciform flecks in periphery (fundus flavimaculatus)"	# FA appearance?	"‘- Dark choroid + starry sky in >80% 
- Due to increased lipofuscin
- Can occur w/ argyrosis (silver, often from tanning agents)"	# ERG appearance?	"‘- Full-field ERG normal early, then worsens like rod-cone dystrophies"																																						
243	Retina	Macular Diseases	Best Disease	"243_RPEdystrophies_BestDisease_1.jpg, 243_RPEdystrophies_BestDisease_2.jpg, 243_RPEdystrophies_BestDisease_4.jpg, 255_Table.png"	nil	# Inheritance pattern?	- Autosomal dominant	# Gene mutated? Protein product mutated?	"- VMD2 on Chr 11
- Bestrophin plasma membrane protein (Cl- channel)"	# Stages? (6)	"‘- <u>Stage 1</u>: Pre-vitelliform (normal fundus)
- <u>Stage 2</u>: Vitelliform (usu. age 4-10)
- <u>Stage 3</u>: Pseudohypopyon
- <u>Stage 4</u>: Vitelleruptive (“scrambled-egg”)
- <u>Stage 5</u>: Atrophic
- <u>Stage 6</u>: CNV"	# ERG/EOG appearance?	"‘- Arden ratio <1.2 (normal >1.5)
- ERG, VF, dark adaptation normal"	# FA appearance?	"‘- Blocked early, stains late"	# AF appearance?	- Increased AF in yellow subretinal deposit	# Complications?	"- CNV (20%), serous PED"	# Prognosis?	"- Good, unless CNV"																														
243	Retina	Macular Diseases	Adult-onset Vitelliform Macular Dystrophy	"243_RPEdystrophies_AdultOnsentVitelliformMacularDystrophy_1.png, 243_RPEdystrophies_AdultOnsentVitelliformMacularDystrophy_2.jpg, 243_RPEdystrophies_AdultOnsentVitelliformMacularDystrophy_3.jpg"	nil	# What is the inheritance pattern of Adult-onset Vitelliform Macular Dystrophy?	‘- Autosomal dominant	# Gene mutated?	- RDS/peripherin (PRPH2)	# Clinical findings?	"‘- Onset at age 20-40s
- Similar to Best, but usually asymmetric
- Central dark spot"	# Prognosis?	"- Good, unless CNV"																																						
244	Retina	Macular Diseases	Pattern Dystrophy	"244_RPEdystrophies_PatternDystrophy_1.jpg, 244_RPEdystrophies_PatternDystrophy_2.jpg, 244_RPEdystrophies_PatternDystrophy_3.jpg, 244_RPEdystrophies_PatternDystrophy_4.jpg, 244_RPEdystrophies_PatternDystrophy_5.jpg, 244_RPEdystrophies_PatternDystrophy_6.jpg, 255_Table.png"	nil	# inheritance pattern?	- Autosomal dominant (usually)	# Gene mutated?	- RDS/peripherin (PRPH2)	# Clinical findings?	"‘- Usually mild VA change or metamorphopsia
- Onset usually at age 20-40s
- ERG normal; EOG mildly-reduced "	# What are the 4 types of Pattern Dystrophies?	"- <u>Adult-onset vitelliform dystrophy</u>
##Yellow subfoveal lesions
##~1/3DD w/ pigment)
- <u>Butterfly Dystrophy</u>
##Gray-yellow butterfly lesion
- <u>Reticular Dystrophy (Sjogren’s)</u>
## Fishnet configuration
## Hypofluorescent on FA
- <u>Fundus Pulverulentus</u>
## Coarse RPE mottling"	# CNV rare																																					
245	Retina	Macular Diseases	North Carolina Macular Dystrophy	nil	nil	# What is the inheritance pattern of North Carolina Macular Dystrophy?	- Autosomal dominant	# Gene mutated?	- MCDR1 on Chr 6q14	# Clinical findings?	"- Non-progressive
- Staphylomatous w/ big macular scar 
- Surprisingly good vision"																																								
245	Retina	Macular Diseases	Sorsby Dystrophy	255_Table.png	nil	# What is the inheritance pattern of Sorsby Dystrophy?	‘- Autosomal dominant	# Gene mutated?	- TIMP3 gene on Chr 22q	# What is the pathophysiology?	- Accumulation of lipids between RPE and Bruch’s membrane	# Clinical findings?	"‘- Decreased VA/color in age 40-50s
- Subfoveal CNV OU common
- “Pseudo-inflammatory” appearance
- Spreads from center to periphery"	# What is the characteristic appearance on ERG/EOG?	‘- ERG/EOG abnormal late	# Prognosis?	‘- Poor																																		
246	Retina	Macular Diseases	Familial Dominant Drusen	"246_RPEchoroidalDystrophies_MalattiaLeventinese.jpg, 255_Table.png"	nil	# Inheritance pattern?	- Autosomal dominant	# Genes mutated? (2)	"‘- EFEMP1, CFH"	# Alternative names for Familial Dominant Drusen?	- Doyne honeycomb dystrophy or Malattia Leventinese	# Clinical findings?	"- Good vision; normal ERG/EOG
- Onset at age 20s"	# Higher risk for what eye disease?	- AMD																																				
246	Retina	Macular Diseases	Central Areolar Choroidal Dystrophy	"246_RPEchoroidalDystrophies_CentralAreolarChoroidalDystrophy.jpg, 255_Table.png"	nil	# Inheritance pattern?	- Autosomal dominant	# Gene mutated?	‘- RDS/peripherin on Chr 6	# Clinical findings?	"‘- Onset at age 30-40s
- Gradual VA loss + expansion of atrophy
- Similar to GA, but in a young person
- FA (early and late window defects)
- ERG/EOG normal"	# Associated with what type of drusen?	- Dominant drusen																																						
205	Retina	Macular Diseases	Solar Maculopathy	205_Maculopathies_SolarRetinopathy.jpg	nil	# Clinical appearance?	‘- Small yellow foveolar spot that evolves to a small macular hole	# OCT appearance?	- Loss of IS/OS band and small discrete defect	# Cause?	"- Sun-gazing or arc welding, usually occurring ~2 weeks after exposure"	# What 2 drugs increase risk?	"- Psoralen, tetracycline"																																						
205	Retina	Macular Diseases	Unilateral Acute Idiopathic Maculopathy	205_Maculopathies_UAIM.png	nil	# Most common presentation?	‘- Acute vision loss usually in young adult	# Clinical findings?	- Grayish RPE thickening +/- serous RD +/- vitritis	# FA appearance?	- Early hyper/hypofluorescence and late pooling	# OCT appearance?	- Outer retinal defects	# Treatment?	"- None; Spontaneously improve in weeks, OCT resolves"																																				
205	Retina	Macular Diseases	Acute Macular Neuroretinopathy	205_Maculopathies_AMN.png	nil	# Clinical findings?	"‘- Subacute vision loss and paracentral scotomas
- Usually unilateral
- Permanent or transient
- Dark triangular macula patches at outer retina"	# OCT appearance?	- IS/OS defects	# Additional diagnostic study?	- Multifocal ERG																																								
264	Retina	Macular Diseases	Torpedo Maculopathy	264_OtherPigmentedLesions_TorpedoMaculopathy.png	nil	# Clinical appearance?	"‘- Temporal RPE defect pointing toward fovea
- Similar to CHRPE"	# Cause?	- Congenital defect in RPE	# OCT appearance?	‘- Retinal thinning and increased RPE hyperreflectivity																																								
192	Retina	Choroidal Diseases	Central Serous Chorioretinopathy (CSCR)	"192_CSCR_3.png, 192_CSCR_7.jpg, 192_CSCR_9.jpg"	CSCR(Late phase)*AV* 	# Clinical findings?	"- Idiopathic serous RD with multifocal PEDs, RPE changes and mottled atrophy
- Usually in young males"	# Risk factors?	"- Steroids, stress, type A personality"	# FA appearance?	"‘- Expansile dot (common), smokestack"	# OCT appearance?	- Thickened choroid (increased hydrostatic pressure in choroid)	# Treatment?	"- Observation (self-limited 3-4mo)
- Treat if >3-4mo, recurrent, permanent changes
- PDT (half-fluence), eplerenone, spironolactone, finasteride, rifampin"	# DDx of serous RD?	"- CNV (+leakage)
- PCV (saccular outpouchings)
- ON pit (no leakage)
- VKH/SO 
- Posterior scleritis
- Lymphoma
- Pre-eclampsia/Severe HTN 
- Choroidal tumor
- Toxoplasmosis/Syphilis"																																		
201	Retina	Choroidal Diseases	Polypoidal Choroidal Vasculopathy (PCV)	"201_PCV_IPCV_1.jpg, 201_PCV_IPCV_2.jpg,201_Table.png"	nil	# Clinical findings?	"- Multifocal, recurrent serous PEDs
- Saccular choroidal outpouchings"	# Demographics?	"‘- African-Caribbeans and Asians (M>F, mostly unilateral)
-  Caucasians and Blacks (F>M, mostly bilateral, peripapillary)"	# FA appearance?	"‘- Early hyperfluorescent polyps and hypofluorescent halos
- Polyps better seen on ICG"	# Treatment?	"‘- Anti-VEGF, PDT, or combined
- Only disease in ""SUMMIT trials"" to have improved response to combined anti-VEGF + PDT"																																						
261	Retina	Choroidal Diseases	Uveal Effusion Syndrome	"258_SerousRD_1.jpg,258_SerousRD_2.jpg"	nil	# Causes?	"‘- Idiopathic 
- Scleritis 
- Nanophthalmos"	# Associated with which eye conditions?	"‘- Hyperopia, glaucoma"	# FA appearance?	"‘- Leopard spots
- Usually no leakage"																																								
261	Retina	Choroidal Diseases	BDUMP	261_ChoroidalDisease_BDUMP.png	nil	# BDUMP stands for?	- Bilateral diffuse uveal melanocytic proliferation	# Clinical findings?	"‘- Paraneoplastic diffuse thickening of choroid with discoloration
- Looks like large nevi"	# Cancer association?	"‘- Ovarian, uterine, and lung carcinoma"	# FA appearance?	‘- Leopard spots	# Treatment?	‘- Intravitreal rituximab																																				
206	Retina	Retinal Vascular Diseases	Hypertensive Retinopathy	206_Hypertension_HypertensiveRetinopathy.jpg	nil	# Scheie classification? (Grades 0 - 4)	"‘- <u>Grade 0</u>: No change
- <u>Grade 1</u>: Trace arterial narrowing
- <u>Grade 2</u>: Frank arterial narrowing + focal irregularities
- <u>Grade 3</u>: Grade 2 + retinal hemorrhages/exudates
- <u>Grade 4</u>: Grade 3 + disc swelling"	# Causes what vascular eye conditions?	"- BRAO, BRVO, CRVO"	# Treatment?	‘- BP control																																								
206	Retina	Retinal Vascular Diseases	Macroaneurysms	"206_Hypertension_Macroaneurysm_1.png, 206_Hypertension_Macroaneurysm_2.png"	nil	# Clinical findings?	"- Retinal hemorrhages in all 3 layers (preretinal, intraretinal, subretinal)"	# Causes?	"‘- 2/3 from HTN Retinopathy
- CRVO"	# Treatment?	"‘- Laser, if macula involved"																																								
206	Retina	Retinal Vascular Diseases	Hypertensive Choroidopathy	206_Hypertension_HypertensiveChoroidopathy.png	nil	# Causes?	"‘- Preeclampsia or eclampsia
- Renal disease
- Pheochromocytoma
- Malignant HTN"	# Clinical findings?	"‘- Elschnig spots
- Siegrist streaks
- Serous RD"	# FA appearance?	"‘- Early focal choroidal hypoperfusion
- Late subretinal leakage"	# DDx of Hypertensive Choroidopathy?	"‘- Vaso-occlusive dx (TTP, ITP, DIC) 
- Inflammatory dx (GCA, Wegener’s)"																																						
207	Retina	Retinal Vascular Diseases	Nonproliferative Diabetic Retinopathy (NPDR)	"207_DiabeticRetinopathy_CSME.jpg, 207_DiabeticRetinopathy_NPDR.jpg"	CSME*NPDR	# Stages? (4)	"‘- Mild
- Moderate
- Severe
- Very Severe"	# How is severe NPDR diagnosed?	"‘- Based on the 4:2:1 rule. A diagnosis is made if the patient has any one of the following:
<u>4 quads</u>: IRH/microaneurysms
<u>2 quads</u>: Venous beading
<u>1 quad</u>: IRMA
- 15% chance of progression to high-risk PDR within 1 year
- Cotton wool spots (CWS) are NOT predictive"	# How is very severe NPDR diagnosed?	"‘- Patient has any two of the 4:2:1 rule
- 45% chance of progression to high-risk PDR within 1 year"																																								
207	Retina	Retinal Vascular Diseases	Proliferative Diabetic Retinopathy (PDR)	" 207_DiabeticRetinopathy_PDR_1.png, 207_DiabeticRetinopathy_PDR_2.png"	PDR*PDR	# Stages? (2)	"‘- Early
- High risk"	# How is high risk PDR diagnosed?	"‘- Any neovascularization of the optic disc (NVD) with vitreous hemorrhage (VH)
- 1/4-1/3 disc area NVD
- 1/2 disc area neovascularization elsewhere (NVE) with VH"	# FA characteristics of Macular Ischemia?	‘- Foveal avascular zone (FAZ) >1000µm usually associated with visual loss																																								
