Category	Topic	Subtopic 	nil	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15
Retina	Macular Diseases	Retinal Angiomatous Proliferation (RAP)	195_CNV_2.jpg	nil	# Yannuzzi Classification?	"- Stage 1
## Intraretinal NV / leakage
- Stage 2
## Subretinal NV + serous PED
- Stage 3
## Choroidal NV + fibrovascular PED
## FA: retinochoroidal anastamoses"																												
Retina	Macular Diseases	Other Causes of CNV: Myopic Degeneration	"198_CNV_MyopicDegeneration_1.jpg, 198_CNV_MyopicDegeneration_2.png"	nil	# High vs Pathologic myopia?	"- High: >-6.00D, >26.5mm
- Pathologic: >-8.00, >32.5mm"	# Findings?	"‘- Lacquer cracks
## can cause round, deep SRH that clears spontaneously (not CNV)
- Forster-Fuchs spots
## dark spots from subretinal or intraretinal RPE hyperplasia
- Posterior staphyloma
- Cobblestone, lattice, cystoid degeneration"	# Treatment?	"‘- Subfoveal: PDT (VIP), anti-VEGF
- Extra/juxtafoveal: anti-VEGF, no data for laser"																								
Retina	Macular Diseases	Other Causes of CNV: Presumed Ocular Histoplasmosis Syndrome (POHS)	199_CNV_POHS.png	nil	# Findings?	"‘- Punched-out “histo spots”
- Peripapillary atrophy
- CNV (peripapillary)
- No vitritis"	# Geography?	Ohio-Mississippi River Valley	# Treatment?	"‘- Extra/juxtafoveal: laser (MPS), anti-VEGF
- Subfoveal: PDT, steroids, anti-VEGF"	# Prognosis?	44% severe VA loss (>6 lines) in 5 yrs																						
Retina	Macular Diseases	Other Causes of CNV: Angioid Streaks	"200_CNV_AngioidStreaks_1.jpg, 200_CNV_AngioidStreaks_2.jpg"	nil	# Definition:	"- Breaks in Bruchs membrane
- Minor trauma may cause bleeding"	# Causes? (PEPSI)	"‘- PXE
## Peau d’orange fundus
## Depigmented subretinal “crystalline spots” or “comet tail”
## Peripheral atrophic spots
## Optic nerve drusen
## Plucked chicken skin
## GI hemorrhages (life threatening)
- Ehlers-Danlos syndrome  
## Hyperextensible joints, scoliosis
## Blue sclera, brittle cornea
- Paget’s disease
## Long bone fractures
- Sickle cell disease
- Idiopathic (50%)"	# Treatment?	- Anti-VEGF; laser (extrapolated from MPS)																								
Retina	Macular Diseases	Macular Telangiectasia	"226_IJFT_1.jpg, 226_IJFT_2.jpg"	Group 2a Juxtafoveal Telangiectasis*Group 2a Juxtafoveal Telangiectasis 	# Features:	‘- Capillary anomalies usually temporal to fovea	# What eye diseases are patients with Parafoveal (Juxtafoveal) Telengiectasia at risk for?	‘- CME and choroidal NV	"# 3 groups? (Gass-Blodi classification) 
1) Aneurysmal (1A: >2 clock hrs; 1B: <2 clock hrs)"	"‘- Congenital or acquired, males
- Unilateral, visible telangiectasias, CME, exudates
- Variant of Coats disease w/ circinate exudates"	2) Perifoveal (A: adult; B: juvenile familial)	"‘- Acquired, male = female
- Bilateral, occult telangiectasias; min exudates; superficial crystalline deposits; foveolar atrophy 
- Abnormal glucose tolerance test
- Group 2A staging?
## Stage 1: diffuse hyperfluorescence in late FA
## Stage 2: reduced parafoveal retinal transparency
## Stage 3: dilated right-angle venules
## Stage 4: intraretinal pigment plaques/clumps
## Stage 5: vascular membranes "	3) Occlusive (A: no CNS; B: +CNS vasculopathy)	"‘- Bilateral, visible telangiectasias; min exudates; capillary occlusion; optic disc pallor; more VA loss"	# Treatment?	"‘- Group 1 only w/ laser
- Group 2,3 w/ PDT or anti-VEGF (laser may worsen fibrosis"																		
Retina	Macular Diseases	Macular Dystrophy: Stargardt Disease	"242_StargardtDisease_1.jpg, 242_StargardtDisease_2.png, 242_StargardtDisease_3.png"	nil	# What is the inheritance pattern of Stargardt Disease?	"‘- Autosomal recessive (ABCA4)
- Usually <50 yrs old
- Most commonly inherited macular dystrophy"	# Fundus findings?	"‘- Bull’s eye maculopathy
- Beaten-bronze macula
- Pisciform flecks in periphery (fundus flavimaculatus)"	# FA findings?	"‘- Dark choroid + starry sky in >80% 
- Due to increased lipofuscin
- Can occur w/ argyrosis (silver, often from tanning agents)"	# What does Stargardt Disease look like on ERG?	"‘- Full-field ERG normal early, then worsens like rod-cone dystrophies"																						
Retina	Macular Diseases	Best Disease	"243_RPEdystrophies_BestDisease_1.jpg, 243_RPEdystrophies_BestDisease_2.jpg, 243_RPEdystrophies_BestDisease_4.jpg"	nil	# Inheritance? Chromosome?	"‘- AD (Chr 11; Bestrophin (Cl- channel, VMD2))"	# Stages?	"‘- Stage 1: Pre-vitelliform (normal fundus)
- Stage 2: Vitelliform (usu. age 4-10)
- Stage 3: Pseudohypopyon
- Stage 4: Vitelleruptive (“scrambled-egg”)
- Stage 5: Atrophic
- Stage 6: CNV"	# ERG/EOG?	"‘- Arden ratio <1.2 (normal >1.5)
 - ERG, VF, dark adaptation normal"	# FA / AF?	"‘- FA: block early; stain late
- AF: increased in yellow subretinal deposit"	# Complications:  	"‘ - CNV (20%), serous PED"	"# Prognosis good, unless CNV"																			
Retina	Macular Diseases	Adult-onset Vitelliform Macular Dystrophy	"243_RPEdystrophies_AdultOnsentVitelliformMacularDystrophy_1.png, 243_RPEdystrophies_AdultOnsentVitelliformMacularDystrophy_2.jpg, 243_RPEdystrophies_AdultOnsentVitelliformMacularDystrophy_3.jpg"	nil	# Inheritance?	"‘- AD (RDS/peripherin, PRPH2)"	# Clinical findings?	"‘- Onset at age 20-40s
- Similar to Best, but usu. asymmetric
- Central dark spot
- Also good prognosis, unless CNV"																										
Retina	Macular Diseases	Pattern Dystrophy	"244_RPEdystrophies_PatternDystrophy_1.jpg, 244_RPEdystrophies_PatternDystrophy_2.jpg, 244_RPEdystrophies_PatternDystrophy_3.jpg, 244_RPEdystrophies_PatternDystrophy_4.jpg, 244_RPEdystrophies_PatternDystrophy_5.jpg, 244_RPEdystrophies_PatternDystrophy_6.jpg"	nil	# Inheritance?	‘- Usually AD (most RDS/peripherin)	# Symptoms/Signs?	"‘- Usually mild VA change or metamorphopsia
- Onset usu. at age 20-40s
- ERG normal; EOG mildly-reduced "	# 4 types?	"- Adult-onset vitelliform dystrophy
## Yellow subfoveal lesions (~1/3DD w/ pigment)
- Butterfly Dystrophy
## Gray-yellow butterfly lesion
- Reticular Dystrophy (Sjogren’s)
## Fishnet configuration (hypofluorescent on FA)
- Fundus Pulverulentus 
## coarse RPE mottling"	# CNV rare																							
Retina	Macular Diseases	North Carolina Macular Dystrophy	nil	nil	# Inheritance?	"‘- AD (6q14, mcdr1)"	"# Non-progressive
# Staphylomatous w/ big macular scar 
# Surprisingly good vision"																											
Retina	Macular Diseases	Sorsby Dystrophy	nil	nil	# Inheritance?	‘- AD (Ch 22q; TIMP3)	"# Features
"	- Lipid deposits between RPE & Bruch’s membrane	# Symptoms/Signs?	"‘- Decreased VA/color in age 40-50s
- Subfoveal CNV OU common
- “Pseudo-inflammatory” appearance
- Spreads from center to periphery"	# ERG/EOG?	‘- ERG/EOG abnormal late	# Prognosis?	‘- Poor																				
Retina	Macular Diseases	Familial Dominant Drusen	246_RPEchoroidalDystrophies_MalattiaLeventinese.jpg	nil	# Presentation:	‘- Drusen in a young person	# Inheritance?	"‘- AD (EFEMP1, CFH)"	"# a.k.a. Doyne honeycomb dystrophy or malattia Leventinese
# Has elements of BOTH cuticular (basal laminar) drusen & reticular pseudodrusen
# Clinical findings? ^"	"‘- Good vision; normal ERG/EOG
- Onset at age 20s"	# Increased risk of AMD																							
Retina	Macular Diseases	Central Areolar Choroidal Dystrophy	246_RPEchoroidalDystrophies_CentralAreolarChoroidalDystrophy.jpg	nil	# Presentation:	‘- Geographic atrophy in a young person	# Inheritance?	‘- AD (Chr 6; RDS/peripherin)	# Clinical findings?	"‘- Onset at age 30-40s
- Gradual VA loss + expansion of atrophy
- Similar to GA, but in a young person
- FA (early and late window defects)
- ERG/EOG normal"	# Associated with dominant drusen																							
Retina	Macular Diseases	Other Maculopathies	"205_Maculopathies_AMN.png, 205_Maculopathies_SolarRetinopathy.jpg, 205_Maculopathies_UAIM.png"	AMN*Solar Retinopathy*UAIM	# What are features of Solar Maculopathy?	"‘- Small yellow foveolar spot that evolves to a small MH
- OCT: loss of IS/OS band + small discrete defect
- Caused by sun-gazing or arc welding, usu. occurring ~2wks after exposure
- Increased risk from psoralen or tetracycline
- VA usu. returns to normal"	# What are features of Unilateral Acute Idiopathic Maculopathy (UAIM )?	"‘- Acute vision loss usu. in young adult
- Grayish RPE thickening +/- serous RD +/- vitritis
- FA: early hyper/hypo + late pooling
- OCT: outer retinal defects
- Spontaneously improve in weeks, OCT resolves"	# What are features of Acute Macular Neuroretinopathy (AMN )?	"‘- Subacute vision loss + paracentral scotomas
- Usu. unilateral
- Permanent or transient
- Dark triangular macula patches at outer retina
- OCT: IS/OS defects
- Dx: multifocal ERG"																								
Retina	Macular Diseases	Torpedo Maculopathy	264_OtherPigmentedLesions_TorpedoMaculopathy.png	nil	# Features: 	"‘- Temporal RPE defect pointing toward fovea
- Similar to CHRPE
- Congenital defect in RPE"	# What do you see on the OCT?	‘- Retinal thinning & inc RPE hyperreflectivity																										
Retina	Choroidal Diseases	Central Serous Chorioretinopathy (CSCR)	"192_CSCR_3.png, 192_CSCR_7.jpg, 192_CSCR_9.jpg"	CSR(Late phase)*AV	# Features:	"- Idiopathic serous RD w/ multifocal PEDs, RPE changes & mottled atrophy
- Usually in young males"	# Risks?	"steroids, stress, type A personality"	# FA & OCT?	"- FA: expansile dot (common), smokestack 
- OCT: thickened choroid (?increased hydrostatic pressure in choroid)"	# Treatment?	"- Observation (self-limited 3-4mo)
- Treat if >3-4mo, recurrent, permanent changes
- Laser speeds recovery, not VA outcome
- PDT (half-fluence), rifampin, spironolactone"	# Ddx of serous RD?	"- CNV (+leakage)
- PCV (saccular outpouchings)
- ON pit (no leakage)
- VKH / SO 
- posterior scleritis
- lymphoma
- pre-eclampsia / severe HTN 
- choroidal tumor
- toxoplasmosis / syphilis"																				
Retina	Choroidal Diseases	Polypoidal Choroidal Vasculopathy (PCV)	"201_PCV_IPCV_1.jpg, 201_PCV_IPCV_2.jpg"	nil	# Definition:	"- Multifocal, recurrent serous PEDs
- Saccular choroidal outpouchings"	# More common in?	"‘- African-Caribbeans & Asians (M>F, mostly unilateral)
- Also occurs in Caucasians & Blacks (F>M, mostly bilateral, peripapillary)"	# FA?	"‘- Early hyperfluorescent polyps and hypofluorescent halos
- Polyps better seen on ICG"	# Treatment?	"‘- Anti-VEGF, PDT, or combined
- Only disease in SUMMIT trial to have improved response to combined anti-VEGF + PDT"																						
Retina	Choroidal Diseases	Uveal Effusion Syndrome	nil	nil	# Causes?	"‘- Idiopathic 
- Scleritis 
- Nanophthalmos"	# Associated with?	"‘- Hyperopia, glaucoma"	# FA findings?	"‘- Leopard spots
- Usually no leakage"																								
Retina	Choroidal Diseases	Bilateral Diffuse Uveal Melanocytic Proliferation (BDUMP)	261_ChoroidalDisease_BDUMP.png	nil	# Features:	"‘- Paraneoplastic diffuse thickening of choroid with discoloration
- Look like large nevi"	# Cancer association?	"‘- Ovarian, uterine, & lung CA"	# FA findings?	‘- Leopard spots	# Treatment?	‘- Intravitreal rituxamab																						
Retina	Vascular Diseases	"Hypertension: Hypertensive Retinopathy, Macroaneurysms"	"206_Hypertension_HypertensiveRetinopathy.jpg, 206_Hypertension_Macroaneurysm_1.png, 206_Hypertension_Macroaneurysm_2.png"	nil	# What vascular eye conditions can Hypertensive Retinopathy cause? 	"- Can cause BRAO, BRVO, CRVO"	# Scheie classification?	"‘- Grade 0: no change
- Grade 1: trace arterial narrowing
- Grade 2: frank arterial narrowing + focal irregularities
- Grade 3: grade 2 + retinal hemorrhages/exudates
- Grade 4: grade 3 + disc swelling"	# Treatment?	Laser if macula involved	# Macroaneurysms	"‘- 2/3 from HTN retinopathy; also CRVO
- Tx: laser"																						
Retina	Vascular Diseases	Hypertension: Hypertensive Choroidopathy	206_Hypertension_HypertensiveChoroidopathy.png	nil	# Hypertensive Choroidopathy usually occurs which cases of acute HTN?	"‘- Preeclampsia or eclampsia
- Renal disease
- Pheochromocytoma
- Malignant HTN"	# Findings?	"‘- Elschnig spots
- Siegrist streaks
- Serous RD"	# FA?	"‘- Early focal choroidal hypoperfusion
- Late subretinal leakage"	# DDx?	"‘- Vaso-occlusive dx (TTP, ITP, DIC) 
- Inflammatory dx (GCA, Wegener’s)"																						
Retina	Vascular Diseases	Diabetic Retinopathy	"207_DiabeticRetinopathy_CSME.jpg, 207_DiabeticRetinopathy_NPDR.jpg, 207_DiabeticRetinopathy_PDR_1.png, 207_DiabeticRetinopathy_PDR_2.png"	Diabetic Macular Edema with Exudates*Nonproliferative Diabetic Retinopathy*Proliferative Diabetic Retinopathy*Proliferative Diabetic Retinopathy	# What are the four stages of Nonproliferative Diabetic Retinopathy (NPDR)?	"‘- Mild
- Moderate
- Severe
- Very Severe"	# How is severe NPDR diagnosed?	"‘- Based on the 4:2:1 rule. A diagnosis is made if the patient has any one of the following:
## 4 quads: IRH + Mas
## 2 quads: venous beading
## 1 quad: IRMA
- 15% chance of progression to high-risk PDR within 1 year
- CWS are NOT predictive"	# How is very severe NPDR diagnosed?	"‘- Patient has any two of the 4:2:1 rule
- 45% chance of progression to high-risk PDR within 1 year"	# What are the features of Clinically Significant Macular Edema (CSME)?	"‘- Any edema within 500_m of fovea
- Hard exudates within 500_m of fovea + adjacent edema
- Edema >1 disc area in size within 1 disc diameter of fovea"	# What are the two stages of Proliferative Diabetic Retinopathy (PDR)?	"‘- Early
- High risk"	# How is high risk PDR diagnosed?	"‘- Any NVD with VH
- 1/4-1/3 disc area NVD (≥standard photo 10A)
- 1/2 disc area NVE with VH (standard photo 7)"	# How is Macular Ischemia diagnosed?	"‘- FA: microaneurysms at margins of zone of capillary nonperfusion
- FAZ enlargement >1000um usually associated with visual loss"																
Retina	Vascular Diseases	Retinal Lasers	208_RetinalLasers_PRP.png	Panretinal (Scatter) Photocoagulation (Fresh)	# What are the specifications of Panretinal Photocoagulation (PRP)?	"‘- >1200 spots, 500um, 0.1s, 1/5 apart
- PRP before CE/IOL if view clear"	# What are the side effects of PRP?	"‘- Lost of peripheral vision
- Decrease in night or color vision
- Glare, photopsias
- Worsens macular edema"	# Why do you avoid 3:00 and 9:00?	‘- Pain from long ciliary nerves	# What are the specifications for Focal/Grid Laser?	"‘- 50-100um, 0.1s
- Whiten MA for focal or >1 spot size for grid"	# What is the procedure for treating CSME with Focal/Grid Laser?	"‘- Treat CSME before PRP for hrPDR
- Treat CSME before CE/IOL"	# Early Treatment Diabetic Retinopathy Study (ETDRS) findings:	"‘- Early PRP (for severe NPDR)
## Small improvement in risk of severe VA loss (<5/200) x 4 mo
## Most effective in DM2 patients
- Focal laser (for CSME)
## 50% reduction of mod VA loss in CSME over 3 yrs (15% vs 30%)
## Increased chance for visual GAIN
## Reduced retinal thickening
- ASA
## 650mg/day did not affect rate of retinopathy or vision loss"	# Diabetic Retinopathy Study (DRS) findings:	"‘- Argon/Xenon laser for?
## Severe NPDR OU 
## High-risk PDR in one eye
- Defined high-risk PDR
- PRP for high-risk PDR: 50% reduction in severe VA loss x 5 yrs"																
Retina	Vascular Diseases	Diabetic Macular Edema	"209_DiabeticMacularEdema_1.jpg, 209_DiabeticMacularEdema_2.jpg, 209_DiabeticMacularEdema_3.jpg"	nil	# What is the therapeutic effect of Posterior Subtenon Triamcinolone?	‘- Improves VA up to 1 year	# What is the therapeutic effect of Intravitreal Steroids?	"‘- Improves VA/CSME up to 2 yrs
- Not as effective as focal per DRCR.net
- Pseudophakic: triamcinolone+laser = Lucentis+laser, but more glaucoma
- Vision gain not dependent on amt of initial edema
- Increased risk of glaucoma/cataract"	# What is the therapeutic effect of Focal Lasers?	‘- Improves CSME long term	# What is are the results from Ranibizumab for Edema of the mAcula in Diabetes-2 (READ-2) Study?	"‘- Lucentis vs focal/grid vs both
- At 6mo: Lucentis = both > focal/grid
- At 24mo, all had Lucentis PRN; all improved"	# What were the results from the two Phase III Trials: RISE and RIDE?	"‘- Lucentis 0.3 vs 0.5 vs sham, qmonth
- At 24mo: Lucentis 0.3 = 0.5 > sham
- At 36mo: Lucentis 0.3 = 0.5 > sham
- Slightly greater thromboembolic events with 0.5mg dosing"																				
Retina	Vascular Diseases	Diabetic Retinopathy: Management	211_Table.png	Diabetic Retinopathy Clinical Research (DRCR) Network	# What were the results from The Diabetes Control and Complications Trial (DCCT)?	"‘- Intensive > conventional glycemic control in DM1 pts, reduces onset & progression of DR & macular edema"	# What were the results from The United Kingdom Prospective Diabetes Study (UKPDS)?	"‘- Intensive > conventional glycemic control in DM2 pts, reduces onset & progression of DR
- Intensive BP control slowed progression of DR 
- No difference bet. ACEi & BB"	# What were the results from The Diabetic Retinopathy Vitrectomy Study (DRVS)?	"‘- Early (<6 mo) vs. late (>1 yr) PPV for non-clearing VH 
- Early PPV improved VA outcome in DM1, not DM2 patients
- Indications for PPV
## Dense non-clearing VH
## TRD threatening macula
## Combined TRD/RRD
## Diffuse DME w/ traction
## Recurrent VH despite max PRP"																								
Retina	Vascular Diseases	Diabetic Retinopathy: Screening and Monitoring	nil	nil	# When do you screen a patient who is pregnant?	"‘- Before conception or in 1st trimester,  q3mo"	# How often do you screen a patient with a disease onset of < 30 years old?	"‘- Within 5 yrs, then yearly"	# How often do you screen a patient with a disease onset of >31 years old	"‘- At diagnosis, then yearly"	# How often do you screen a patient with mild NPDR?	‘- Every 9 months	# How often do you screen a patient with moderate NPDR?	‘- Every 6 months	# How often do you screen a patient with severe NPDR?	‘- Every 4 months	# How often do you screen a patient with severe NPDR and CSME?	‘- Every 2-4 months	# How often do you screen a patient with PDR?	‘- Every 2-3 months														
Retina	Vascular Diseases	Diabetic Retinopathy: Epidemiology and Other Risk Factors	nil	nil	# Epidemiology	"‘- Based on WESDR, after 20 years:
## DM1 – 99% w/ DR
## DM2 – 60% w/ DR
      (Wisconsin white population)"	# Other Risk Factors	"‘- In patients with HTN, intensive BP control may worsen retinal perfusion
- In patients with carotid dx, mild-mod carotid dx may worsen ischemia"	# Associations with Diabetes	"‘- Type II juxtafoveal telengiectasis
## Acquired; bilateral
## Abnormal GTT test
- PSC cataracts
- Lacy vacuolization of the iris
- Thickened basement membranes"																								
Retina	Vascular Diseases	Radiation Retinopathy	"213_RadiationRetinopathy_1.jpg, 213_RadiationRetinopathy_2.jpg"	nil	# How does Radiation Retinopathy arise?	- May result from external beam radiation or plaque brachytherapy	# Usual onset?	"‘- ~18mo s/p external XRT
- Earlier for brachytherapy"	# Usual amount of radiation?	‘- 30-35Gy (min 15Gy)	# Clinical appearance is similar to what disease?	‘- Diabetic retinopathy	# Treatment?	"‘- Similar to diabetic retinopathy
- Consider Avastin q3month for prophylaxis"																				
Retina	Vascular Diseases	Sickle Cell Retinopathy	214_SickleCellRetinopathy_1.jpg	nil	# Hemoglobinopathy?	"‘- SC worst ocular Sx (SC>Sthal>SS>SA)
- SS worst systemic Sx"	# Gene defect?	‘- Val sub for glu acid at 6th position on B-polypeptide chain	# What type of medication should patients avoid?	‘- Avoid carbonic anhydrase inhibitors	# Other Eye findings?	"‘- Angioid streaks
- Comma sign (segmented conj vessels)"	# What are visible characteristics as a result of hemorrhaging in Nonproliferative Sickle Cell Retinopathy?	"‘- Salmon patch
## Intraretinal hemorrhage after arteriolar occlusion
- Iridescent spots
## Old resorbed heme
- Black sunburst
## RPE hypertrophy, hyperplasia"	# What are the five stages of Proliferative Sickle Cell Retinopathy?	"‘- Stage 1: peripheral arteriolar occlusion
- Stage 2: peripheral AV anastomoses
- Stage 3: preretinal sea fan NV (posterior border of nonperfusion; may autoinfarct and turn white)
- Stage 4: Vitreous hemorrhage
- Stage 5: Tractional RD"	# Treatment?	"‘- Scatter laser to ischemic retina
- PPV precautions (avoid encircling SB or taking down EOMs, avoid epi in local anesthetic, ensure O2 & hydration)"																
Retina	Vascular Diseases	Eales disease	"215_EalesDisease_1.jpg, 215_EalesDisease_2.jpg"	nil	# Definition of Eales Disease?	"‘- Idiopathic obliterative perivasculitis of peripheral retina
- Bilateral peripheral NV + VH"	# Eales Disease is most prevalent in which age group?	‘- Young males	# Associated with?	‘- TB hypersensitivity	# Endemic in?	‘- India																						
