Category	Topic	Subtopic 	Image	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15
Retina	Macular Diseases	Wet AMD Treatments: Studies	nil	nil	"# VISION ^
# MARINA ^
# ANCHOR ^
# PIER ^
# PrONTO ^
# SUSTAIN ^
# HORIZON ^
# CATT ^
# FOCUS ^
# SUMMIT (MONT BLAN, DENALI, EVEREST) ^
# CABERNET ^
# RADICAL ^
# VIEW 1 & 2 ^
# HARBOR ^"	nil	# VISION ^	"- Macugen q6wks x 48wks > sham
- Improved VA in all CNV"	# MARINA ^	"- Lucentis q4wks x 2yrs > sham
- Minimally-classic or occult w/o classic CNV"	# ANCHOR ^	"- Lucentis q4wks x 2yrs > PDT q3mo PRN
- Predominantly-classic CNV"	# PIER ^	"- Lucentis q4wks x 3 then q12wks
- Steady decline after 3mo c/w q4wks"	# PrONTO ^	"- Lucentis q4wks x 3 then PRN (VA loss + fluid, CRT inc, mac hem, new cl CNV, persistent fluid s/p inj)
- Comparable to q4wks; 5.6inj/yr, but q4wk visits
"	# SUSTAIN ^	"- Lucentis q4wks x 3 then PRN (VA loss, CRT inc)
- Comparable to q4wks; 5.3inj/yr, but q4wk visits
"	# HORIZON ^	"- MARINA/ANCHOR/FOCUS pts  tx w/ PRN Lucentis q4wks s/p 2yrs
- Continued less frequent dosing -> VA loss"	# CATT ^	"- Lucentis = Avastin q4wks or PRN in VA (<5letter diff)
- Lucentis > Avastin q4wks or PRN in OCT fluid (~10%)
- Avastin > Lucentis in adverse events (24 vs 19%)"	# FOCUS ^	"- Lucentis + PDT > PDT alone
- Predominantly-classic CNV"	"# SUMMIT (MONT BLANC, DENALI, EVEREST) ^"	"- Lucentis + PDT = Lucentis alone
- Except IPCV (Lucentis + PDT > Lucentis)"	# CABERNET ^	- Lucentis + epimacular brachy vs Lucentis	# RADICAL ^	"- Lucentis + PDT + Dexamethasone vs Lucentis
"	# VIEW 1 & 2 ^	- Eylea q1mo x 3 -> q2mo = Lucentis q1mo	# HARBOR ^	- Lucentis 0.5mg q4wks vs PRN vs 2mg q4wks vs PRN
Retina	Macular Diseases	Other Causes of CNV: Myopic Degeneration	"198_CNV_MyopicDegeneration_1.jpg, 198_CNV_MyopicDegeneration_2.png"	Myopic Contour on OCT*Posterior Staphyloma and Geographic Atrophy Myopic Degeneration	"# High vs Pathologic myopia? ^
# Findings? ^
# Treatment? ^
---"	nil	# High vs Pathologic myopia? ^	"- High: >-6.00D, >26.5mm
- Pathologic: >-8.00, >32.5mm"	# Findings? ^	"‘- Lacquer cracks
## can cause round, deep SRH that clears spontaneously (not CNV)
- Forster-Fuchs spots
## dark spots from subretinal or intraretinal RPE hyperplasia
- Posterior staphyloma
- Cobblestone, lattice, cystoid degeneration"	# Treatment? ^	"‘- Subfoveal: PDT (VIP), anti-VEGF
- Extra/juxtafoveal: anti-VEGF, no data for laser"																						
Retina	Macular Diseases	Other Causes of CNV: Presumed Ocular Histoplasmosis Syndrome (POHS)	199_CNV_POHS.png	Presumed Ocular Histoplasmosis Syndrome	"# Findings? ^
# Geography? ^
# Treatment? ^
# Prognosis? ^
---"	nil	# Findings? ^	"‘- Punched-out “histo spots”
- Peripapillary atrophy
- CNV (peripapillary)
- No vitritis"	# Geography? ^	Ohio-Mississippi River Valley	# Treatment? ^	"‘- Extra/juxtafoveal: laser (MPS), anti-VEGF
- Subfoveal: PDT, steroids, anti-VEGF"	# Prognosis? ^	44% severe VA loss (>6 lines) in 5 yrs																				
Retina	Macular Diseases	Other Causes of CNV: Angioid Streaks	"200_CNV_AngioidStreaks_1.jpg, 200_CNV_AngioidStreaks_2.jpg"	Angioid Streaks*PXE with Angioid Streaks	"# Breaks in Bruchs membrane
# Minor trauma may cause bleeding
# Causes? (PEPSI) ^
# Treatment? ^
---"	nil	# Causes? (PEPSI) ^	"‘- PXE
## Peau d’orange fundus
## Depigmented subretinal “crystalline spots” or “comet tail”
## Peripheral atrophic spots
## Optic nerve drusen
## Plucked chicken skin
## GI hemorrhages (life threatening)
- Ehlers-Danlos syndrome  
## Hyperextensible joints, scoliosis
## Blue sclera, brittle cornea
- Paget’s disease
## Long bone fractures
- Sickle cell disease
- Idiopathic (50%)"	# Treatment? ^	- Anti-VEGF; laser (extrapolated from MPS)																								
Retina	Choroidal Diseases	Polypoidal Choroidal Vasculopathy (PCV)	"201_PCV_IPCV_1.jpg, 201_PCV_IPCV_2.jpg"	"Idiopathic PCV - FA*Idiopathic PCV - ICG, Polyp Visible"	"# Multifocal, recurrent serous PEDs
# Saccular choroidal outpouchings
# More common in? ^
# FA? ^
# Treatment? ^
---"	nil	# More common in? ^	"‘- African-Caribbeans & Asians (M>F, mostly unilateral)
- Also occurs in Caucasians & Blacks (F>M, mostly bilateral, peripapillary)"	# FA? ^	"‘- Early hyperfluorescent polyps and hypofluorescent halos
- Polyps better seen on ICG"	# Treatment? ^	"‘- Anti-VEGF, PDT, or combined
- Only disease in SUMMIT trial to have improved response to combined anti-VEGF + PDT"																						
Retina	Vitreomacular Interface	Vitreoretinal Interface: Epiretinal Membrane (ERM)	"202_VitreoretinalInterface_ERM_1.jpg, 202_VitreoretinalInterface_ERM_2.jpg"	Epiretinal Membrane*Epiretinal Membrane with Pseudohole	"# Can be idiopathic or secondary to vascular occlusions, inflammation, surgery, trauma, or retinal breaks (allows RPE migration onto retina)
# Stable (>75% maintain >20/50)
# Treatment? ^"	"- PPV/MP if VA <20/50 or severe metamorphopsia
- 66-75% has VA improvement
- 80% get cataracts
- 2-7% recurs"																												
Retina	Vitreomacular Interface	Vitreoretinal Interface: VMT	202_VitreoretinalInterface_ERM_2.jpg	VMT	"# VMA with traction
# Treatment? ^"	"‘- PPV/MP (risks unknown)
- Ocriplasmin (microplasmin)
## Truncated form of plasmin
- MIVI-TRUST Study:
## OCP > placebo in VMA resolutn (26 vs 12%)
## OCP > placebo in MH closure (40% vs 25%)
## OCP > placebo in VA gain    (12% vs 9%)
## Better if phakic, no ERM"																												
Retina	Vitreomacular Interface	Macular Holes	203_MacularHoles_OCT.jpg	Macular Hole - OCT	"Idiopathic Macular Hole
# Clinical test? ^
# Stages (antiquated)? ^
# New grading system? ^
# Treatments? ^
# PPV Treatment success? ^
# Treatment for traumatic MH? ^
# What is a Pseudohole? ^
# What is a Lamellar Hole? ^
---"	nil	# Clinical test? ^	Watzke-allen test	# Stages (antiquated)? ^	"‘- Stage 1
## 1A (pseudocyst); 1B (outer layer loss) 
## 50% spontaneously resolve (no surgery)
- Stage 2
## Full-thickness hole <400um
- Stage 3
## Full-thickness >400um + elevated rim
- Stage 4
## Hole with PVD"	# New grading system? ^	"‘- Small <250um
- Medium 250-400um
- Large >400um"	# Treatments? ^	"‘- Jetrea (if <250um & VMA present)
- PPV (if >250um) + ILMP (if >400um)"	# PPV Treatment success? ^	"‘- 92% closure ; 50% if re-op
- short-acting gas (SF6 or 10% C3F8)
- ILMP (_ closure) if >400um
- Face down (3 days; _ closure if >400um)"	# Treatment for traumatic MH? ^	Observation (no traction; spontaneous closure ~2 mo)	# What is a Pseudohole? ^	"‘- Appearance of hole w/ steep walls
- Caused by vascular tortuosity around macula"	# What is a Lamellar Hole? ^	"‘- Thin layer of retina lifted w/ walls “bulging out”
- Maybe precursor or resolved macular hole"												
Retina	Vascular Diseases	Purtscher's Retinopathy	"204_Heme_PurtschersRetinopathy_1.jpg, 204_Heme_PurtschersRetinopathy_2.jpg"	Purtscher's Retinopathy - Motor Vehicle Accident*Purtscher's Retinopathy - 19yo Female After Pregnancy	# Terson Syndrome ^	nil	# Terson Syndrome ^	"‘- Vitreous + subhyaloid heme caused by acute rise in ICP
- 30% subarachnoid or subdural hemorrhage have intraocular heme
- Treatment?
## PPV (works well)"																										
Retina	Vitreous	Vitrous Hemorrhage	"204_TersonSyndrome_1.jpg, 204_TersonSyndrome_2.png"	Preretinal Heme*Subarachnoid Hemorrhage	"# Ochre Membrane ^
# Synchysis scintillans ^
# Purtscher Retinopathy ^"	nil	# Ochre Membrane ^	Heme on posterior surface of detached vitreous	# Synchysis scintillans ^	"Refractile, yellow cholesterol crystals in vitreous after resolution of VH"	# Purtscher Retinopathy ^	"‘- Usually peripapillary hemorrhages, cotton-wool spots, & edema after acute compression injuries to head or thorax
- FA: arteriolar leakage
- Etiology?
## injury-induced complement activation & granulocyte aggregation
- Causes of Purtscher-like Retinopathy?
## Acute pancreatitis
## SLE (Lupus)
## Amniotic fluid embolism
## Fat embolism
## Renal failure
## Retrobulbar anesthesia"																						
Retina	Macular Diseases	Other Maculopathies	"205_Maculopathies_AMN.png, 205_Maculopathies_SolarRetinopathy.jpg, 205_Maculopathies_UAIM.png"	Acute Macular Neuroretinopathy - Spot in Vision OS*Solar Retinopathy*Unilateral Acute Idiopathic Maculopathy (UAIM)	"# Solar Maculopathy ^
# UAIM / Unilateral Acute Idiopathic Maculopathy ^
# AMN / Acute Macular Neuroretinopathy ^
---"	nil	# Solar Maculopathy ^	"‘- Small yellow foveolar spot that evolves to a small MH
- OCT: loss of IS/OS \\\ band + small  \\\discrete defect
- Caused by sun-gazing or arc welding, usu. occurring ~2wks after exposure
- Increased risk from psoralen or tetracycline
- VA usu. returns to normal"	# UAIM / Unilateral Acute Idiopathic Maculopathy ^	"‘- Acute vision loss usu. in young adult
- Grayish RPE thickening +/- serous RD +/- vitritis
- FA: early hyper/hypo + late pooling
- OCT: outer retinal defects
- Spontaneously improve in weeks, OCT resolves"	# AMN / Acute Macular Neuroretinopathy ^	"‘- Subacute vision loss + paracentral scotomas
- Usu. unilateral
- Permanent or transient
- Dark triangular macula patches at outer retina
- OCT: IS/OS defects
- Dx: multifocal ERG"																						
Retina	Vascular Diseases	"Hypertension: Hypertensive Retinopathy, Macroaneurysms"	"206_Hypertension_HypertensiveRetinopathy.jpg, 206_Hypertension_Macroaneurysm_1.png, 206_Hypertension_Macroaneurysm_2.png"	Hypertensive Retinopathy*Ruptured Retinal Arterial Macroaneurysm - Submacular Hemorrhage*Retinal Arterial Macroaneurysm	"# Scheie classification? ^
# Can cause BRAO, BRVO, CRVO
# Treatment? ^
# Macroaneurysms ^
---"	nil	# Scheie classification? ^	"‘- Grade 0: no change
- Grade 1: trace arterial narrowing
- Grade 2: frank arterial narrowing + focal irregularities
- Grade 3: grade 2 + retinal hemorrhages/exudates
- Grade 4: grade 3 + disc swelling"	# Treatment? ^	Laser if macula involved	# Macroaneurysms ^	"‘- 2/3 from HTN retinopathy; also CRVO
- Tx: laser"																						
Retina	Vascular Diseases	Hypertension: Hypertensive Choroidopathy	206_Hypertension_HypertensiveChoroidopathy.png	Hypertensive Choroidopathy - Pheochromocytoma	"# Usually occurs w/ acute HTN ^
# Findings? ^
# FA? ^
# DDx? ^
---"	nil	# Usually occurs w/ acute HTN ^	"‘- Preeclampsia or eclampsia
- Renal disease
- Pheochromocytoma
- Malignant HTN"	# Findings? ^	"‘- Elschnig spots
- Siegrist streaks
- Serous RD"	# FA? ^	"‘- early focal choroidal hypoperfusion
- late subretinal leakage"	# DDx? ^	"‘- Vaso-occlusive dx (TTP, ITP, DIC) 
- Inflammatory dx (GCA, Wegener’s"																				
Retina	Vascular Diseases	Diabetic Retinopathy	"207_DiabeticRetinopathy_CSME.jpg, 207_DiabeticRetinopathy_NPDR.jpg, 207_DiabeticRetinopathy_PDR_1.png, 207_DiabeticRetinopathy_PDR_2.png"	Clinically Significant Diabetic Macular Edema with Exudates*Nonproliferative Diabetic Retinopathy*Proliferative Diabetic Retinopathy Type I Diabetic*Proliferative Diabetic Retinopathy	"# NPDR 
- Mild
- Moderate
- Severe ^
- Very severe ^
# CSME ^
# PDR
- Early
- High risk ^
# Macular Ischemia ^
---"	nil	"# NPDR 
- Mild
- Moderate
- Severe ^"	"## 4:2:1 rule, any one of:
- 4 quads: IRH + Mas
- 2 quads: venous beading
- 1 quad: IRMA
## 15% chance of progression to high-risk PDR within 1 year
## CWS are NOT predictive"	- Very severe ^	"## Any 2 of the 4:2:1 rule
## 45% chance of progression to high-risk PDR within 1 year"	# CSME ^	"- Any edema within 500_m of fovea
- Hard exudates within 500_m of fovea + adjacent edema
- Edema >1 disc area in size within 1 disc diameter of fovea"	"# PDR:
- Early
- High risk ^"	"## Any NVD with VH
## 1/4-1/3 disc area NVD (≥standard photo 10A)
## 1/2 disc area NVE with VH (standard photo 7)"	# Macular Ischemia ^	"‘- FA: microaneurysms at margins of zone of capillary nonperfusion
- FAZ enlargement >1000um usu. associated with visual loss"																		
Retina	Vascular Diseases	Retinal Lasers	208_RetinalLasers_PRP.png	Panretinal (Scatter) Photocoagulation (Fresh)	"# Panretinal Photocoagulation (PRP)
- >1200 spots, 500um, 0.1s, 1/5 apart
- Side effects? ^
- Avoid 3:00 & 9:00? ^
- PRP before CE/IOL if view clear
# Focal / Grid Laser ^
# ETDRS ^
# DRS
- Argon/Xenon laser for? ^
- Defined high-risk PDR
- PRP for high-risk PDR: 50% reduction in severe VA loss x 5 yrs
---"	nil	"# Panretinal Photocoagulation (PRP)
- Side effects? ^"	"## Lost of peripheral vision
## Decrease in night or color vision
## Glare, photopsias
## Worsens macular edema"	- Avoid 3:00 & 9:00? ^	## Pain from long ciliary nerves	# Focal / Grid Laser ^	"- 50-100um, 0.1s
- Whiten MA for focal or >1 spot size for grid
- Treat CSME before PRP for hrPDR
- Treat CSME before CE/IOL"	# ETDRS ^	"- Early PRP (for severe NPDR)
## Small improvement in risk of severe VA loss (<5/200) x 4 mo
## Most effective in DM2 patients
- Focal laser (for CSME)
## 50% reduction of mod VA loss in CSME over 3 yrs (15% vs 30%)
## Increased chance for visual GAIN
## Reduced retinal thickening
- ASA
## 650mg/day did not affect rate of retinopathy or vision loss"	"# DRS
- Argon/Xenon laser for? ^"	"## severe NPDR OU 
## high-risk PDR in one eye"																		
Retina	Vascular Diseases	Diabetic Macular Edema	"209_DiabeticMacularEdema_1.jpg, 209_DiabeticMacularEdema_2.jpg, 209_DiabeticMacularEdema_3.jpg"	Diabetic macular edema*Diabetic Patient with Macular Edema and Blood Pressure*OCT	"# Posterior subtenon triamcinolone ^
# Intravitreal steroids ^
# Focal laser ^
# READ-2 ^
# RISE & RIDE ^
---"	nil	# Posterior subtenon triamcinolone ^	Improves VA up to 1 year	# Intravitreal steroids ^	"‘- Improves VA/CSME up to 2 yrs
- Not as effective as focal per DRCR.net
- Pseudophakic: triamcinolone+laser = Lucentis+laser, but more glaucoma
- Vision gain not dependent on amt of initial edema
- Increased risk of glaucoma/cataract"	# Focal laser ^	‘- Improves CSME long term	# READ-2 ^	"‘- Lucentis vs focal/grid vs both
- At 6mo: Lucentis = both > focal/grid
- At 24mo, all had Lucentis PRN; all improved"	# RISE & RIDE ^	"‘- Lucentis 0.3 vs 0.5 vs sham, qmonth
- At 24mo: Lucentis 0.3 = 0.5 > sham
- At 36mo: Lucentis 0.3 = 0.5 > sham
- Slightly greater thromboembolic events with 0.5mg dosing"																		
Retina	Vascular Diseases	"Diabetic Retinopathy: Management (DCCT, UKPDS, DRVS)"	nil	nil	"# DCCT ^
# UKPDS ^
# DRVS ^
---"	nil	# DCCT ^	"‘- Intensive > conventional glycemic control in DM1 pts, reduces onset & progression of DR & macular edema"	# UKPDS ^	"‘- Intensive > conventional glycemic control in DM2 pts, reduces onset & progression of DR
- Intensive BP control slowed progression of DR 
- No difference bet. ACEi & BB"	# DRVS ^	"‘- Early (<6 mo) vs. late (>1 yr) PPV for non-clearing VH 
- Early PPV improved VA outcome in DM1, not DM2 patients
- Indications for PPV
## Dense non-clearing VH
## TRD threatening macula
## Combined TRD/RRD
## Diffuse DME w/ traction
## Recurrent VH despite max PRP"																						
Retina	Vascular Diseases	Diabetic Retinopathy: Management (DRCR network)	nil	nil	DRCR network	211_Table.png																												
Retina	Vascular Diseases	Diabetic Retinopathy: Screening and Monitoring	nil	nil	"# Pregnant ^
# Onset 0-30 years old ^
# Onset >31 years old ^
# If mild NPDR
# Moderate NPDR
# Severe NPDR ^
# Severe NPDR + CSME ^
# PDR ^
---"	nil	# Pregnant ^	"‘- Before conception or in 1st trimester,  q3mo"	# Onset 0-30 years old ^	"‘- Within 5 yrs, then yearly"	# Onset >31 years old ^	"‘- At diagnosis, then yearly"	# If mild NPDR	‘- Every 9 months	# Moderate NPDR	‘- Every 6 months	# Severe NPDR ^	‘- Every 4 months	# Severe NPDR + CSME ^	‘- Every 2-4 months	# PDR ^	‘- Every 2-3 months												
Retina	Vascular Diseases	Diabetic Retinopathy: Epidemiology and Other Risk Factors	nil	nil	"# Epidemiology ^
# Other Risk Factors ^
# Associations with Diabetes ^
---"	nil	# Epidemiology ^	"‘- Based on WESDR, after 20 years:
## DM1 – 99% w/ DR
## DM2 – 60% w/ DR
      (Wisconsin white population)"	# Other Risk Factors ^	"‘- In patients with HTN, intensive BP control may worsen retinal perfusion
- In patients with carotid dx, mild-mod carotid dx may worsen ischemia"	# Associations with Diabetes ^	"‘- Type II juxtafoveal telengiectasis
## Acquired; bilateral
## Abnormal GTT test
- PSC cataracts
- Lacy vacuolization of the iris
- Thickened basement membranes"																						
